,id,isomer,conf_id,idock_score,rf_score
0,15152,15,3,-9.31,7.68
1,8254,15,3,-7.23,7.4
2,9161,14,3,-9.58,7.34
3,13451,14,1,-7.6,8.09
4,9307,14,2,-8.31,7.3
5,5636,15,2,-9.13,7.69
6,4475,14,1,-9.36,7.95
7,16571,14,2,-7.01,7.6
8,16571,14,1,-7.46,7.5
9,3481,14,2,-7.67,7.5
10,1656,15,1,-8.32,7.59
11,13897,14,2,-9.36,7.48
12,11779,14,2,-8.7,7.8
13,2554,15,1,-9.01,7.67
14,12685,14,2,-8.41,7.81
15,2154,15,2,-9.07,7.42
16,14983,14,1,-7.76,7.86
17,6693,14,1,-8.33,7.77
18,12562,15,2,-7.82,7.18
19,5706,15,3,-8.34,7.53
20,13840,15,1,-9.63,7.48
21,9044,15,3,-8.16,7.57
22,5520,15,1,-8.63,7.81
23,16836,15,1,-8.37,7.79
24,6694,15,1,-8.52,7.48
25,9575,14,2,-8.4,7.36
26,13459,14,3,-8.53,7.67
27,5139,14,2,-8.24,7.51
28,9307,14,3,-8.37,7.36
29,9809,14,1,-8.3,7.46
30,11895,14,2,-8.3,7.4
31,16937,14,2,-8.31,7.53
32,14271,14,3,-9.29,7.39
33,12730,15,3,-8.26,7.47
34,6713,14,2,-7.83,7.53
35,17358,15,3,-7.99,7.32
36,11708,15,3,-9.41,7.69
37,6733,14,1,-8.12,7.32
38,10981,14,1,-9.1,7.41
39,16711,14,3,-9.07,7.9
40,13635,14,3,-9.0,7.73
41,12113,14,3,-8.6,7.54
42,15397,14,1,-7.65,7.4
43,18076,15,1,-8.27,7.68
44,2200,15,1,-8.4,7.56
45,17829,14,3,-8.71,7.81
46,16145,14,1,-8.97,7.43
47,15737,14,1,-9.08,7.22
48,2980,15,3,-9.01,7.61
49,6513,14,3,-8.81,7.52
50,3631,14,1,-7.71,7.68
51,16165,14,1,-8.19,7.26
52,6009,14,3,-7.21,7.4
53,1174,15,2,-7.7,7.48
54,2342,15,1,-7.84,7.4
55,5070,15,1,-8.17,7.36
56,18378,15,2,-8.92,7.67
57,2135,14,2,-8.08,7.44
58,714,15,1,-8.46,7.55
59,7060,15,3,-8.23,7.41
60,9045,14,1,-7.77,7.55
61,6549,14,3,-8.1,7.5
62,14488,15,3,-8.47,7.36
63,9474,15,3,-8.73,7.68
64,8843,14,1,-8.83,7.76
65,2340,15,1,-8.34,7.3
66,5375,14,3,-7.41,7.76
67,17206,15,1,-9.19,7.65
68,1997,14,1,-8.7,7.39
69,10099,14,2,-9.04,7.48
70,11397,14,3,-9.06,7.41
71,3848,15,1,-8.94,7.75
72,6181,14,1,-8.54,7.64
73,9569,14,2,-8.84,7.6
74,4752,15,3,-7.84,7.29
75,10552,15,3,-9.0,7.59
76,4455,14,2,-8.05,7.9
77,16195,14,1,-7.21,7.49
78,11961,14,3,-8.54,7.64
79,699,14,2,-7.99,7.6
80,16689,14,1,-8.13,7.38
81,1282,15,1,-8.55,8.06
82,4853,14,3,-8.33,7.43
83,2299,14,3,-7.5,7.49
84,17726,15,3,-8.99,7.53
85,18651,14,2,-7.95,7.65
86,12759,14,2,-7.94,7.25
87,12723,14,3,-8.63,7.54
88,11941,14,2,-8.84,7.74
89,17970,15,1,-8.69,7.85
90,16573,14,1,-8.82,7.67
91,14832,15,1,-8.77,7.52
92,13334,15,3,-8.83,7.48
93,16122,15,2,-8.55,7.56
94,6300,15,2,-9.3,7.51
95,1930,15,1,-8.63,7.32
96,12599,14,1,-7.93,7.76
97,9381,14,1,-9.04,7.48
98,16404,15,3,-8.94,7.47
99,3172,15,1,-8.24,7.49
100,15446,15,1,-8.71,8.16
101,16475,14,1,-9.33,7.53
102,17830,15,3,-8.62,8.11
103,11983,14,3,-8.71,7.56
104,8213,14,2,-10.07,7.61
105,8680,15,2,-9.32,7.5
106,396,15,2,-8.32,7.72
107,7739,14,1,-9.27,7.65
108,1282,15,3,-8.62,7.97
109,9203,14,1,-9.02,7.41
110,8661,14,3,-8.78,7.51
111,670,15,1,-8.53,7.3
112,4887,14,1,-8.7,7.55
113,552,15,3,-8.24,7.23
114,360,15,3,-7.76,7.55
115,14288,15,2,-9.46,7.7
116,3400,15,1,-7.79,7.51
117,13770,15,1,-9.37,7.53
118,6299,14,1,-8.97,7.46
119,16628,15,3,-8.86,7.48
120,4142,15,1,-9.49,7.4
121,87,14,1,-8.45,7.54
122,4842,15,2,-7.83,7.42
123,3237,14,2,-8.65,7.51
124,17386,15,3,-9.03,8.17
125,8029,14,2,-7.77,7.42
126,15135,14,3,-8.59,7.96
127,9301,14,3,-8.01,7.74
128,6155,14,1,-8.84,7.44
129,13249,14,3,-8.75,7.62
130,391,14,1,-8.78,7.47
131,10733,14,2,-7.47,7.42
132,8333,14,1,-8.14,7.45
133,9241,14,2,-7.86,7.22
134,8052,15,2,-8.21,7.75
135,9566,15,2,-8.23,7.49
136,6546,15,2,-8.3,7.4
137,17105,14,1,-8.72,7.51
138,7044,15,3,-8.42,7.26
139,16672,15,2,-8.22,7.08
140,5288,15,3,-9.16,7.57
141,572,15,1,-9.42,7.64
142,10366,15,1,-8.02,7.13
143,15642,15,2,-8.53,7.5
144,3481,14,1,-8.16,7.44
145,6379,14,3,-8.64,7.65
146,11942,15,3,-8.64,7.56
147,10828,15,2,-8.39,7.4
148,948,15,1,-7.7,7.1
149,12698,15,2,-8.16,7.82
150,916,15,3,-8.59,8.09
151,10390,15,3,-8.94,7.28
152,15666,15,2,-9.19,7.79
153,3152,15,3,-7.96,7.27
154,6320,15,2,-7.67,7.43
155,825,14,2,-9.34,7.48
156,12508,15,3,-8.61,7.61
157,16550,15,3,-9.07,7.74
158,11336,15,3,-8.2,7.54
159,16589,14,3,-9.19,7.31
160,5979,14,3,-9.6,7.43
161,18480,15,1,-8.49,7.63
162,7817,14,1,-8.23,7.51
163,2391,14,2,-9.03,7.43
164,7138,15,3,-8.05,7.2
165,4164,15,2,-8.99,7.51
166,18561,14,3,-7.9,7.59
167,5274,15,3,-8.8,7.53
168,11293,14,1,-9.34,7.68
169,6004,15,2,-8.15,7.42
170,10799,14,1,-7.88,7.33
171,6133,14,1,-10.38,7.82
172,8648,15,3,-9.51,7.65
173,16989,14,3,-9.42,7.62
174,15171,14,1,-7.83,7.51
175,12175,14,2,-8.28,7.27
176,16957,14,2,-8.21,7.32
177,12218,15,2,-8.53,7.28
178,6457,14,2,-8.46,7.53
179,9620,15,3,-8.22,7.56
180,4679,14,3,-9.19,7.43
181,7955,14,3,-8.8,7.41
182,255,14,1,-9.25,7.45
183,11925,14,1,-8.39,7.54
184,2861,14,3,-8.31,7.52
185,11870,15,3,-9.26,7.59
186,3837,14,1,-7.96,7.59
187,956,15,3,-8.18,7.46
188,3584,15,1,-8.98,7.63
189,17121,14,1,-8.26,7.36
190,6859,14,1,-8.29,7.63
191,11771,14,3,-7.8,7.81
192,9290,15,3,-9.0,7.63
193,7740,15,2,-9.18,7.96
194,9043,14,3,-8.07,7.51
195,6006,15,3,-7.95,7.41
196,2199,14,2,-7.66,7.51
197,12395,14,3,-8.95,7.6
198,1886,15,1,-8.5,7.77
199,15449,14,1,-9.27,7.41
200,15589,14,2,-9.51,7.47
201,9310,15,3,-8.07,7.45
202,8384,15,3,-8.17,7.45
203,5583,14,3,-8.66,7.58
204,11204,15,3,-8.52,7.46
205,8468,15,3,-8.69,7.66
206,3452,15,3,-8.54,7.52
207,15289,14,1,-9.08,7.59
208,2295,14,3,-9.09,7.47
209,1772,15,3,-7.93,7.4
210,11275,14,1,-9.04,7.83
211,1830,15,2,-8.35,7.21
212,8170,15,3,-8.62,7.64
213,18506,15,1,-8.49,7.69
214,13890,15,2,-9.37,7.7
215,574,15,1,-8.13,7.4
216,13778,15,1,-8.45,7.67
217,13998,15,2,-8.16,7.42
218,14705,14,2,-7.63,7.69
219,9088,15,3,-8.43,7.33
220,14214,15,1,-8.45,7.85
221,1599,14,3,-7.29,7.51
222,9876,15,1,-8.27,7.68
223,7475,14,1,-8.89,7.71
224,16801,14,3,-8.48,7.46
225,18677,14,2,-7.68,7.48
226,4501,14,2,-8.88,7.55
227,10843,14,3,-9.38,7.27
228,3127,14,3,-8.17,7.2
229,7401,14,1,-7.59,7.29
230,12821,14,2,-8.33,7.46
231,15064,15,3,-8.46,7.6
232,7503,14,3,-8.9,7.41
233,183,14,1,-8.3,7.26
234,6544,15,2,-9.37,7.61
235,6235,14,1,-8.15,7.48
236,12949,14,1,-9.2,7.55
237,12834,15,3,-8.44,7.72
238,10890,15,2,-8.75,7.65
239,3754,15,2,-8.78,7.57
240,17300,15,1,-9.44,7.39
241,16990,15,2,-9.21,7.38
242,10098,15,1,-8.94,7.52
243,17300,15,2,-9.35,7.44
244,2300,15,2,-7.34,7.31
245,12852,15,1,-7.44,7.48
246,7848,15,1,-9.48,7.97
247,3171,14,1,-7.6,7.32
248,11994,15,2,-8.37,7.74
249,1387,14,2,-8.67,7.24
250,4598,15,2,-8.32,7.33
251,15590,15,2,-9.14,7.75
252,11722,15,1,-8.57,7.64
253,17197,14,2,-8.18,7.31
254,14909,14,1,-8.3,7.33
255,16688,15,1,-8.33,7.48
256,10981,14,2,-9.16,7.56
257,5409,14,3,-7.25,7.35
258,11758,15,2,-7.96,7.7
259,6779,14,1,-8.49,7.44
260,13333,14,3,-9.41,7.56
261,17816,15,2,-9.74,7.79
262,15024,15,3,-8.28,7.47
263,2777,14,1,-7.96,7.5
264,12527,14,3,-8.08,7.85
265,14508,15,1,-8.92,7.42
266,12798,15,2,-8.85,7.59
267,7402,15,1,-7.98,7.41
268,12625,14,2,-8.16,7.35
269,15565,14,1,-8.17,7.7
270,9705,14,2,-8.42,7.47
271,7608,15,2,-9.05,7.94
272,13957,14,1,-7.94,7.73
273,14707,14,3,-9.67,7.26
274,5589,14,1,-8.18,7.24
275,18078,15,1,-8.47,7.32
276,17107,14,2,-7.87,7.55
277,7955,14,2,-8.89,7.53
278,17378,15,3,-9.03,7.9
279,1006,15,2,-8.64,7.61
280,8666,15,3,-7.7,7.51
281,14472,15,3,-8.5,7.61
282,18286,15,3,-8.33,7.43
283,4317,14,2,-7.77,7.35
284,4374,15,3,-8.68,7.67
285,2761,14,2,-8.91,7.89
286,18599,14,3,-8.71,7.53
287,8953,14,1,-9.05,7.55
288,10483,14,2,-8.77,7.83
289,17665,14,3,-9.11,7.23
290,14202,15,2,-9.01,7.54
291,2364,15,1,-8.53,7.51
292,9649,14,2,-8.62,7.48
293,18151,14,1,-9.28,7.45
294,11983,14,2,-8.57,7.57
295,18345,14,2,-8.07,7.35
296,8550,15,1,-8.95,7.58
297,18379,14,2,-8.51,7.36
298,18612,15,3,-8.92,7.69
299,6455,14,1,-8.76,7.67
300,3949,14,1,-10.06,7.61
301,7737,14,2,-9.67,7.43
302,2392,15,3,-9.79,7.73
303,8615,14,1,-8.26,7.48
304,18508,15,2,-7.31,7.3
305,6573,14,2,-9.35,7.53
306,7093,14,2,-8.56,7.75
307,7205,14,1,-9.04,7.9
308,16333,14,3,-8.7,7.5
309,5486,15,1,-8.55,7.45
310,11909,14,1,-8.9,7.8
311,358,15,3,-8.09,7.91
312,14504,15,1,-8.91,7.7
313,18383,14,1,-9.2,7.94
314,5436,15,3,-9.05,7.42
315,8946,15,1,-8.67,7.44
316,13371,14,1,-8.66,7.32
317,13730,15,1,-8.1,7.6
318,18592,15,2,-7.71,7.32
319,15064,15,2,-8.47,7.57
320,6009,14,1,-7.56,7.55
321,4820,15,2,-9.35,7.62
322,5772,15,2,-9.26,7.63
323,13116,15,3,-8.66,7.44
324,15157,14,3,-7.66,7.44
325,2553,14,3,-9.2,7.36
326,8844,15,1,-8.21,7.58
327,7805,14,1,-8.58,7.44
328,17800,15,2,-8.98,7.5
329,18234,15,3,-8.83,7.59
330,13197,14,3,-7.81,7.61
331,9920,15,1,-8.48,7.72
332,12142,15,3,-9.59,7.68
333,9810,15,3,-8.26,7.46
334,17753,14,3,-7.98,7.59
335,9330,15,1,-8.33,7.55
336,16765,14,3,-8.26,7.44
337,4540,15,1,-9.61,7.65
338,16321,14,3,-8.49,7.46
339,4141,14,3,-9.21,7.4
340,11172,15,2,-9.32,7.77
341,9362,15,1,-9.59,7.83
342,375,14,3,-8.46,7.79
343,18041,14,2,-8.06,7.38
344,12216,15,3,-8.33,7.79
345,16079,14,1,-7.07,7.65
346,16855,14,1,-8.88,7.74
347,3275,14,3,-8.2,7.66
348,2536,15,3,-8.76,7.5
349,10938,15,3,-7.57,7.6
350,9532,15,3,-9.27,7.45
351,13344,15,3,-8.46,7.55
352,15064,15,1,-8.44,7.6
353,4820,15,3,-9.39,7.67
354,16322,15,1,-8.76,7.74
355,16362,15,3,-9.09,7.63
356,16671,14,2,-7.82,7.07
357,6091,14,2,-8.88,7.27
358,7485,14,3,-8.08,7.35
359,1005,14,2,-8.75,7.53
360,7333,14,3,-9.82,7.63
361,12828,15,1,-8.24,7.71
362,17074,15,2,-8.62,7.5
363,13583,14,3,-8.48,7.49
364,16590,15,3,-9.23,7.55
365,12054,15,1,-8.93,7.34
366,17125,14,3,-8.88,7.54
367,18027,14,2,-7.64,7.5
368,3323,14,2,-8.2,7.32
369,17579,14,3,-8.37,7.27
370,3797,14,2,-8.25,7.52
371,10331,14,3,-8.84,7.39
372,10938,15,1,-8.26,7.75
373,8303,14,3,-9.15,7.57
374,6035,14,2,-9.06,7.67
375,12688,15,3,-9.42,7.75
376,16929,14,2,-9.0,7.3
377,13972,15,3,-9.44,7.78
378,16995,14,3,-7.91,7.21
379,10590,15,1,-8.85,7.41
380,18419,14,1,-8.55,7.46
381,16324,15,3,-7.55,7.16
382,13012,15,1,-8.55,8.27
383,3437,14,1,-8.22,7.4
384,18545,14,2,-8.48,7.56
385,15667,14,3,-8.4,7.6
386,12617,14,2,-8.91,7.74
387,10726,15,1,-9.4,7.44
388,12508,15,1,-8.57,7.55
389,12092,15,3,-7.61,7.53
390,9236,15,1,-9.78,7.68
391,9839,14,2,-8.66,7.37
392,8953,14,2,-8.99,7.43
393,14386,15,1,-8.95,7.54
394,11002,15,2,-9.45,7.59
395,8468,15,2,-8.55,7.74
396,3698,15,2,-8.27,7.34
397,12885,14,3,-9.31,7.44
398,1023,14,3,-8.3,7.31
399,9851,14,3,-8.96,7.21
400,4026,15,2,-8.84,7.46
401,341,14,1,-9.37,7.65
402,9768,15,3,-8.79,7.31
403,14307,14,2,-8.94,7.69
404,14758,15,2,-9.24,7.81
405,971,14,3,-8.29,7.22
406,9664,15,3,-8.01,7.49
407,10012,15,2,-9.22,7.6
408,245,14,1,-9.48,7.36
409,16026,15,3,-9.01,7.61
410,2395,14,2,-9.09,7.51
411,7817,14,2,-8.34,7.52
412,17830,15,2,-8.65,7.98
413,5553,14,2,-8.04,7.55
414,9875,14,3,-8.27,7.31
415,1771,14,2,-7.67,7.61
416,6453,14,3,-8.47,7.41
417,6009,14,2,-7.4,7.51
418,1406,15,1,-9.06,7.52
419,16336,15,3,-9.62,7.77
420,13361,14,3,-8.95,7.45
421,3247,14,2,-8.45,8.04
422,3716,15,3,-8.18,7.4
423,7959,14,2,-9.34,7.65
424,6926,15,2,-8.75,7.39
425,15917,14,3,-8.75,7.58
426,9715,14,1,-9.09,7.23
427,18771,14,3,-7.66,7.69
428,4330,15,2,-8.68,7.44
429,572,15,2,-9.48,7.55
430,17357,14,3,-8.47,7.39
431,9916,15,1,-8.75,7.72
432,3037,14,2,-8.26,7.39
433,1505,14,3,-9.45,7.48
434,6320,15,3,-7.82,7.83
435,13599,14,1,-8.52,7.91
436,2145,14,1,-9.39,7.19
437,8435,14,1,-8.97,7.39
438,9693,14,3,-8.16,7.54
439,17970,15,2,-8.45,7.48
440,13502,15,1,-8.95,7.5
441,5088,15,3,-9.18,7.57
442,4294,15,1,-7.78,7.13
443,1858,15,3,-9.03,7.73
444,3475,14,1,-7.22,7.42
445,18042,15,3,-8.32,7.35
446,9628,15,1,-7.63,7.4
447,9220,15,1,-8.1,7.64
448,17068,15,1,-8.68,7.55
449,11065,14,2,-9.43,7.72
450,13517,14,2,-8.97,7.31
451,6480,15,3,-9.09,7.74
452,4885,14,2,-8.16,7.59
453,15321,14,3,-8.15,7.5
454,15586,15,3,-8.76,7.46
455,15381,14,3,-9.33,7.47
456,8383,14,2,-9.02,8.03
457,13019,14,3,-8.67,7.36
458,12503,14,1,-9.0,7.4
459,12759,14,1,-7.51,7.46
460,7240,15,2,-8.82,7.37
461,10433,14,2,-8.89,7.61
462,10149,14,1,-7.93,7.62
463,5375,14,1,-7.71,7.63
464,1173,14,2,-7.69,7.4
465,9551,14,3,-8.47,7.92
466,7956,15,2,-8.8,7.22
467,7043,14,1,-8.36,7.47
468,7334,15,2,-8.56,7.32
469,3835,14,2,-9.23,7.48
470,1798,15,1,-8.91,7.43
471,8662,15,2,-9.16,7.6
472,5797,14,2,-8.29,7.36
473,14806,15,2,-9.07,7.25
474,12467,14,2,-9.16,7.31
475,11204,15,1,-8.28,7.44
476,12437,14,3,-8.37,7.53
477,12953,14,1,-8.9,7.34
478,1723,14,3,-8.41,7.42
479,10976,15,1,-9.2,7.63
480,9243,14,1,-7.69,7.29
481,17044,15,1,-7.81,7.57
482,9181,14,2,-7.75,7.51
483,13020,15,1,-8.61,7.44
484,5418,15,1,-8.64,7.53
485,18747,14,2,-8.73,7.42
486,898,15,2,-8.02,7.81
487,15940,15,3,-8.79,7.62
488,12279,14,2,-8.6,7.41
489,9087,14,1,-8.94,7.52
490,1519,14,1,-9.16,7.52
491,15382,15,2,-10.01,7.85
492,4374,15,2,-9.03,7.52
493,4425,14,2,-8.76,7.75
494,4799,14,3,-8.55,7.58
495,5685,14,2,-8.12,7.44
496,7803,14,3,-9.31,7.53
497,17990,15,3,-7.69,7.49
498,17205,14,2,-8.88,7.4
499,8992,15,1,-9.08,7.63
500,18232,15,3,-8.48,7.72
501,9985,14,3,-8.81,7.4
502,3151,14,3,-8.35,7.2
503,9756,15,1,-9.02,7.65
504,18233,14,1,-8.42,7.63
505,13772,15,3,-8.19,7.64
506,18076,15,3,-8.06,7.38
507,14299,14,2,-9.52,7.47
508,8155,14,2,-8.92,7.28
509,9716,15,2,-8.9,7.55
510,18619,14,2,-8.27,7.21
511,6455,14,3,-8.57,7.74
512,4133,14,3,-8.56,7.41
513,1310,15,3,-8.89,7.5
514,6423,14,1,-8.17,7.4
515,331,14,1,-8.19,7.35
516,14983,14,3,-7.77,7.62
517,18030,15,1,-8.19,7.42
518,5910,15,1,-9.57,7.57
519,2610,15,1,-7.84,7.74
520,6372,15,2,-7.82,7.3
521,1469,14,2,-7.55,7.67
522,16843,14,1,-7.67,7.41
523,4152,15,3,-8.09,7.5
524,3675,14,3,-8.75,7.57
525,3996,15,3,-8.27,7.54
526,2279,14,1,-7.6,7.9
527,16766,15,2,-7.61,7.49
528,3583,14,3,-8.32,7.31
529,18642,15,2,-7.48,7.4
530,2304,15,1,-9.97,7.95
531,8579,14,2,-8.61,8.05
532,15098,15,1,-8.98,7.61
533,5565,14,1,-9.33,7.38
534,16197,14,2,-8.2,7.5
535,18019,14,2,-8.13,7.65
536,6341,14,2,-8.71,7.85
537,1829,14,2,-8.32,7.17
538,14488,15,1,-8.35,7.39
539,4240,15,1,-8.63,7.37
540,12791,14,2,-8.29,7.61
541,16573,14,2,-8.68,7.59
542,136,15,2,-8.51,7.48
543,12950,15,2,-8.93,7.55
544,15220,15,2,-8.07,7.38
545,3698,15,3,-8.36,7.26
546,9619,14,2,-8.44,7.8
547,1777,14,3,-9.1,7.32
548,17090,15,2,-7.99,7.21
549,18427,14,2,-8.27,7.41
550,13568,15,1,-8.11,7.39
551,2762,15,3,-8.08,7.49
552,18741,14,3,-8.89,7.92
553,12349,14,3,-8.4,7.49
554,2170,15,2,-8.57,7.55
555,2862,15,2,-8.4,7.9
556,15303,14,1,-7.72,7.57
557,11094,15,3,-8.54,7.5
558,4942,15,2,-9.25,7.84
559,4461,14,2,-8.75,7.35
560,9839,14,3,-8.72,7.33
561,2599,14,1,-9.06,7.48
562,6081,14,3,-8.46,7.42
563,12567,14,1,-8.66,7.51
564,9014,15,3,-8.53,7.45
565,5341,14,3,-7.45,7.49
566,1305,14,2,-8.24,7.61
567,3496,15,2,-7.64,7.52
568,13116,15,2,-8.63,7.44
569,16133,14,2,-8.46,7.38
570,15592,15,1,-8.33,7.49
571,17373,14,1,-8.16,7.45
572,10342,15,3,-8.38,7.23
573,16842,15,1,-8.47,7.56
574,6156,15,1,-9.29,7.37
575,5914,15,2,-9.87,7.59
576,443,14,3,-9.22,7.33
577,6786,15,2,-9.29,7.56
578,166,15,3,-8.06,7.78
579,6960,15,1,-9.43,7.74
580,13918,15,1,-7.98,7.41
581,8169,14,2,-8.03,7.4
582,16785,14,2,-8.78,7.57
583,2709,14,1,-8.05,7.52
584,16265,14,2,-8.54,7.32
585,11511,14,1,-8.56,7.65
586,2825,14,3,-8.32,8.34
587,14244,15,1,-8.07,7.34
588,2946,15,3,-8.37,7.35
589,5163,14,2,-8.38,7.25
590,7401,14,2,-7.73,7.54
591,7748,15,3,-7.33,7.51
592,15810,15,2,-8.65,7.88
593,4560,15,3,-8.65,7.72
594,2800,15,2,-9.34,7.83
595,13769,14,2,-9.13,7.51
596,4239,14,1,-8.26,7.24
597,10828,15,1,-8.28,7.41
598,8123,14,1,-8.85,7.45
599,17310,15,3,-9.31,7.45
600,3900,15,1,-8.1,7.47
601,12936,15,2,-8.66,7.65
602,9203,14,3,-8.91,7.3
603,7806,15,2,-8.4,7.66
604,2723,14,3,-8.52,7.73
605,6838,15,1,-7.82,7.72
606,6286,15,2,-9.26,7.2
607,1827,14,1,-9.61,7.72
608,1655,14,2,-8.31,7.41
609,14090,15,1,-8.94,7.34
610,4776,15,2,-8.87,7.41
611,16022,15,1,-8.4,7.41
612,2296,15,3,-9.18,7.47
613,11373,14,2,-9.21,7.83
614,15907,14,3,-9.2,7.38
615,1195,14,3,-8.42,7.26
616,5905,14,2,-9.64,7.33
617,12791,14,3,-8.35,7.59
618,7751,14,2,-8.89,7.58
619,18429,14,3,-9.41,7.44
620,8251,14,3,-8.04,7.32
621,16461,14,1,-8.99,7.25
622,8942,15,1,-9.55,7.52
623,4922,15,2,-9.31,7.67
624,11398,15,2,-9.61,7.87
625,12729,14,2,-7.91,7.24
626,12822,15,1,-8.51,7.59
627,9310,15,1,-8.14,7.41
628,1798,15,3,-8.96,7.35
629,15322,15,3,-8.49,7.7
630,4214,15,1,-8.89,7.61
631,2263,14,3,-8.33,7.64
632,13863,14,1,-9.08,7.98
633,6059,14,3,-8.86,7.42
634,8006,15,3,-7.61,7.54
635,14909,14,3,-8.15,7.31
636,5207,14,3,-8.71,7.95
637,5568,15,2,-8.58,7.43
638,1930,15,3,-8.61,7.41
639,16910,15,3,-8.73,7.54
640,18286,15,2,-8.27,7.42
641,12274,15,3,-8.92,7.65
642,56,15,1,-8.03,7.46
643,11667,14,2,-8.65,7.64
644,9257,14,1,-7.89,7.4
645,17590,15,3,-8.78,7.52
646,4878,15,2,-8.7,7.59
647,18759,14,1,-8.07,7.33
648,4372,15,1,-9.53,7.54
649,18444,15,3,-9.06,7.37
650,7182,15,2,-8.67,7.41
651,18534,15,1,-7.89,7.35
652,16080,15,3,-7.17,7.45
653,1909,14,1,-8.57,7.78
654,9370,15,1,-9.36,7.94
655,17925,14,2,-8.33,7.4
656,15423,14,1,-8.91,7.46
657,6449,14,2,-9.46,7.51
658,18641,14,3,-7.76,7.88
659,2181,14,2,-7.71,7.79
660,9242,15,2,-8.53,7.71
661,11223,14,3,-8.99,7.58
662,10962,15,1,-8.17,7.65
663,15797,14,3,-7.87,7.33
664,9716,15,3,-8.85,7.5
665,14415,14,2,-8.21,7.75
666,12838,15,2,-7.66,7.44
667,15649,14,1,-8.74,7.54
668,9300,15,3,-8.52,7.87
669,14991,14,3,-8.17,7.36
670,14633,14,3,-8.92,7.53
671,2579,14,3,-7.73,7.54
672,1870,15,1,-8.84,7.7
673,12688,15,1,-9.3,7.65
674,966,15,3,-8.84,7.52
675,7788,15,1,-10.29,7.96
