,id,isomer,conf_id,affinity
0,15152,15,3,-8.948
1,8254,15,3,-7.364
2,9161,14,3,-9.297
3,13451,14,1,-7.252
4,9307,14,2,-8.258
5,5636,15,2,-9.113
6,4475,14,1,-9.22
7,16571,14,2,-7.293
8,16571,14,1,-7.209
9,3481,14,2,-7.692
10,1656,15,1,-8.33
11,13897,14,2,-9.236
12,11779,14,2,-8.604
13,2554,15,1,-9.191
14,12685,14,2,-8.57
15,2154,15,2,-9.074
16,14983,14,1,-8.288
17,6693,14,1,-8.415
18,12562,15,2,-7.834
19,5706,15,3,-8.494
20,13840,15,1,-9.092
21,9044,15,3,-8.223
22,5520,15,1,-8.522
23,16836,15,1,-8.281
24,6694,15,1,-8.366
25,9575,14,2,-8.207
26,13459,14,3,-8.503
27,5139,14,2,-7.997
28,9307,14,3,-8.221
29,9809,14,1,-7.431
30,11895,14,2,-8.13
31,16937,14,2,-8.15
32,14271,14,3,-9.012
33,12730,15,3,-7.811
34,6713,14,2,-7.823
35,17358,15,3,-8.07
36,11708,15,3,-9.26
37,6733,14,1,-7.979
38,10981,14,1,-9.008
39,16711,14,3,-9.037
40,13635,14,3,-8.963
41,12113,14,3,-8.536
42,15397,14,1,-7.672
43,18076,15,1,-8.223
44,2200,15,1,-8.269
45,17829,14,3,-8.115
46,16145,14,1,-8.861
47,15737,14,1,-9.265
48,2980,15,3,-9.075
49,6513,14,3,-8.803
50,3631,14,1,-7.702
51,16165,14,1,-8.286
52,6009,14,3,-7.386
53,1174,15,2,-7.735
54,2342,15,1,-7.742
55,5070,15,1,-8.111
56,18378,15,2,-8.858
57,2135,14,2,-8.078
58,714,15,1,-8.227
59,7060,15,3,-7.977
60,9045,14,1,-7.71
61,6549,14,3,-8.147
62,14488,15,3,-8.377
63,9474,15,3,-8.694
64,8843,14,1,-8.723
65,2340,15,1,-8.52
66,5375,14,3,-7.48
67,17206,15,1,-9.102
68,1997,14,1,-9.123
69,10099,14,2,-9.013
70,11397,14,3,-8.984
71,3848,15,1,-8.079
72,6181,14,1,-8.899
73,9569,14,2,-8.897
74,4752,15,3,-7.944
75,10552,15,3,-8.877
76,4455,14,2,-7.976
77,16195,14,1,-7.635
78,11961,14,3,-8.555
79,699,14,2,-7.862
80,16689,14,1,-8.16
81,1282,15,1,-7.99
82,4853,14,3,-8.382
